新版六类职业分类表,,,,,,,,,,对应类别,,,
行业,,,,,,工种名称,,,工种代码,寿险、重疾及意外险,,,医疗保险
,,,,,金属挤压工人,,,,801045,5,,,1.5
,,,,,铸轧工人,,,,801046,5,,,1.5
,,,,,钢丝绳制造工人,,,,801047,4,,,1.25
,,,铸铁管生产,,铸管备品工人,,,,801048,3,,,1.25
,,,,,铸管工人,,,,801049,5,,,1.5
,,,,,铸管精修工人,,,,801050,5,,,1.5
,,,硬质合金生产,,硬质合金混合料制备工人,,,,801051,4,,,1.25
,,,,,硬质合金成型工人,,,,801052,5,,,1.5
,,,,,硬质合金烧结工人,,,,801053,4,,,1.25
,,,,,硬质合金精加工工人,,,,801054,4,,,1.25
,,,碳素制品生产,,,碳素制品生产人员,,,801055,4,,,1.25
机械制造加 工业,,,机械制造\加工,,领班,,,,802001,3,,,标准
