生命人寿职业代码（第三版）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
行业,,,,,,职业,,,,,代码,,意外险,,,寿险,,豁免
,,,建筑工人-石棉瓦或浪板安装工人,,,,,,91026,,4,,25,,,1.5,,
,,,建筑工人-铝门窗装修人员,,,,,,91027,,5,,25,,,1.5,,
,,,建筑工人-防水、排水工程员,,,,,,91028,,4,,标准,,,1.5,,
,,,仓库管理员,,,,,,91029,,4,,标准,,,1,,
,,,短工,,,,,,91030,,拒保,,拒保,,,拒保,,
,,,楼宇拆除工人,,,,,,91031,,拒保,,拒保,,,拒保,,
建筑物维修及管理091,,,内勤,,,,,,91032,,1,,标准,,,1,,
,,,外勤,,,,,,91033,,2,,标准,,,1,,
,,,安装工人,,,,,,91034,,4,,标准,,,1,,
铁路道路铺设092,,,工程师,,,,,,92001,,3,,标准,,,1,,
,,,领班、监工,,,,,,92002,,3,,标准,,,1,,
,,,道路工程机械操作员,,,,,,92003,,5,,25,,,1,,
,,,道路工程车辆驾驶员,,,,,,92004,,5,,标准,,,1,,
,,,山地铺设工人,,,,,,92005,,拒保,,25,,,1.5,,
,,,平地铺设工人,,,,,,92006,,5,,标准,,,1,,
,,,维护工人,,,,,,92007,,5,,标准,,,1,,
,,,电线架设及维护工人,,,,,,92008,,拒保,,25,,,1.5,,
,,,管道铺设机维护工人,,,,,,92009,,5,,标准,,,1,,
,,,高速公路工程人员(含美化工程),,,,,,92010,,6,,25,,,1.5,,
造修船业093,,,,工程师,,,,,93001,,3,,标准,,,1,,
,"电梯,升降梯094",,,,领班、监工,,,,,,93002,,4,,,标准,,1
,,,,,工人,,,,,,93003,,6,,,25,,1.5
,,,,,行政内勤人员,,,,,,93004,,1,,,标准,,1
,,,,,拆船工人,,,,,,93005,,6,,,25,,1.5
,,,,,修理及维护工人(非高空作业),,,,,,94001,,5,,,标准,,1
,,,,,"安装,修理及维护工人(高空作业)",,,,,,94002,,6,,,50,,2
,,,,,操作员(非矿场作业),,,,,,94003,,2,,,标准,,1
,装潢业095,,,,设计制图人员,,,,,,95001,,1,,,标准,,1
,,,,,地毯铺置人员,,,,,,95002,,2,,,标准,,1
,,,,,室内装潢人员（如下）,,,,,,,,,,,,,
,,,,,室内装潢人员-木工,,,,,,95003,,4,,,标准,,1
,,,,,室内装潢人员-水电工,,,,,,95004,,4,,,标准,,1
,,,,,室内装潢人员-泥水匠,,,,,,95005,,4,,,标准,,1
,,,,,室内装潢人员-油漆工,,,,,,95006,,4,,,25,,1
,,,,,室内装潢人员-门窗安装工,,,,,,95007,,4,,,标准,,1
,,,,,室外装潢人员(非高空作业),,,,,,95008,,5,,,标准,,1
,,,,,室外装潢人员(高空作业),,,,,,95009,,拒保,,,50,,2
,,,,,承包商、监工,,,,,,95010,,2,,,标准,,1
,,,,,墙纸粘贴工,,,,,,95011,,4,,,标准,,1
,其他096,,,,地质探测员(山区、海上),,,,,,96001,,拒保,,,75,,2
,,,,,地质探测员(平地，不包括建筑工地),,,,,,96002,,3,,,标准,,1
,,,,,工地看守员,,,,,,96003,,5,,,标准,,1
,,,,,海湾港口工程人员,,,,,,96004,,6,,,50,,2
,,,,,水利、桥梁、隧道工程人员,,,,,,96005,,拒保,,,50,,拒保
,,,,,潜水、爆破工作人员,,,,,,96006,,拒保,,,75,,拒保
,,,,,挖泥船工人,,,,,,96007,,拒保,,,50,,拒保
制造业10,钢铁厂101,,,,"经理人员(不至现场者,仅内勤管理)",,,,,,101001,,1,,,标准,,1
